"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2020","132.69","134.08","134.74","131.72","99.12M","-0.77%"
"12/30/2020","133.72","135.58","135.99","133.40","96.45M","-0.85%"
"12/29/2020","134.87","138.05","138.79","134.34","121.05M","-1.33%"
"12/28/2020","136.69","133.99","137.34","133.51","124.49M","3.58%"
"12/24/2020","131.97","131.32","133.46","131.10","54.93M","0.77%"
"12/23/2020","130.96","132.16","132.43","130.78","88.22M","-0.70%"
"12/22/2020","131.88","131.61","134.40","129.65","169.35M","2.85%"
"12/21/2020","128.23","125.02","128.31","123.45","121.25M","1.24%"
"12/18/2020","126.65","128.96","129.10","126.12","192.54M","-1.59%"
"12/17/2020","128.70","128.90","129.58","128.04","94.36M","0.70%"
"12/16/2020","127.81","127.41","128.37","126.56","98.21M","-0.05%"
"12/15/2020","127.88","124.34","127.90","124.13","157.57M","5.01%"
"12/14/2020","121.78","122.60","123.35","121.54","79.08M","-0.51%"
"12/11/2020","122.41","122.43","122.76","120.55","86.94M","-0.67%"
"12/10/2020","123.24","120.50","123.87","120.15","81.31M","1.20%"
"12/09/2020","121.78","124.53","125.95","121.00","115.09M","-2.09%"
"12/08/2020","124.38","124.37","124.98","123.09","82.23M","0.51%"
"12/07/2020","123.75","122.31","124.57","122.25","86.71M","1.23%"
"12/04/2020","122.25","122.60","122.86","121.52","78.26M","-0.56%"
"12/03/2020","122.94","123.52","123.78","122.21","78.97M","-0.11%"
"12/02/2020","123.08","122.02","123.37","120.89","89.00M","0.29%"
"12/01/2020","122.72","121.01","123.47","120.01","128.17M","3.08%"
"11/30/2020","119.05","116.97","120.97","116.81","169.41M","2.11%"
"11/27/2020","116.59","116.57","117.49","116.22","46.69M","0.48%"
"11/25/2020","116.03","115.55","116.75","115.17","76.50M","0.75%"
"11/24/2020","115.17","113.91","115.85","112.59","113.87M","1.16%"
"11/23/2020","113.85","117.18","117.62","113.75","127.96M","-2.97%"
"11/20/2020","117.34","118.64","118.77","117.29","73.60M","-1.10%"
"11/19/2020","118.64","117.59","119.06","116.81","74.11M","0.52%"
"11/18/2020","118.03","118.61","119.82","118.00","76.32M","-1.14%"
"11/17/2020","119.39","119.55","120.67","118.96","74.27M","-0.76%"
"11/16/2020","120.30","118.92","120.99","118.15","91.18M","0.87%"
"11/13/2020","119.26","119.44","119.67","117.87","81.69M","0.04%"
"11/12/2020","119.21","119.62","120.53","118.57","103.35M","-0.23%"
"11/11/2020","119.49","117.19","119.63","116.44","112.30M","3.04%"
"11/10/2020","115.97","115.55","117.59","114.13","138.02M","-0.30%"
"11/09/2020","116.32","120.50","121.99","116.05","154.52M","-2.00%"
"11/06/2020","118.69","118.32","119.20","116.13","114.46M","-0.29%"
"11/05/2020","119.03","117.95","119.62","116.87","126.39M","3.55%"
"11/04/2020","114.95","114.14","115.59","112.35","138.24M","4.08%"
"11/03/2020","110.44","109.66","111.49","108.73","107.62M","1.54%"
"11/02/2020","108.77","109.11","110.68","107.32","122.87M","-0.08%"
"10/30/2020","108.86","111.06","111.99","107.72","190.57M","-5.60%"
"10/29/2020","115.32","112.37","116.93","112.20","146.13M","3.71%"
"10/28/2020","111.20","115.05","115.43","111.10","143.94M","-4.63%"
"10/27/2020","116.60","115.49","117.28","114.54","92.28M","1.35%"
"10/26/2020","115.05","114.01","116.55","112.88","111.85M","0.01%"
"10/23/2020","115.04","116.39","116.55","114.28","82.57M","-0.61%"
"10/22/2020","115.75","117.45","118.04","114.59","101.99M","-0.96%"
"10/21/2020","116.87","116.67","118.71","116.45","89.95M","-0.54%"
"10/20/2020","117.51","116.20","118.98","115.63","124.42M","1.32%"
"10/19/2020","115.98","119.96","120.42","115.66","120.64M","-2.55%"
"10/16/2020","119.02","121.28","121.55","118.81","115.39M","-1.40%"
"10/15/2020","120.71","118.72","121.20","118.15","112.56M","-0.40%"
"10/14/2020","121.19","121.00","123.03","119.62","151.06M","0.07%"
"10/13/2020","121.10","125.27","125.39","119.65","262.33M","-2.65%"
"10/12/2020","124.40","120.06","125.18","119.28","240.23M","6.35%"
"10/09/2020","116.97","115.28","117.00","114.92","100.51M","1.74%"
"10/08/2020","114.97","116.25","116.40","114.59","83.48M","-0.10%"
"10/07/2020","115.08","114.62","115.55","114.13","96.85M","1.70%"
"10/06/2020","113.16","115.70","116.12","112.25","161.50M","-2.87%"
"10/05/2020","116.50","113.91","116.65","113.55","106.24M","3.08%"
"10/02/2020","113.02","112.89","115.37","112.22","144.71M","-3.23%"
"10/01/2020","116.79","117.64","117.72","115.83","116.12M","0.85%"
"09/30/2020","115.81","113.79","117.26","113.62","142.68M","1.51%"
"09/29/2020","114.09","114.55","115.31","113.57","100.06M","-0.76%"
"09/28/2020","114.96","115.01","115.32","112.78","137.67M","2.39%"
"09/25/2020","112.28","108.43","112.44","107.67","149.98M","3.75%"
"09/24/2020","108.22","105.17","110.25","105.00","167.74M","1.03%"
"09/23/2020","107.12","111.62","112.11","106.77","150.72M","-4.19%"
"09/22/2020","111.81","112.68","112.86","109.16","183.06M","1.57%"
"09/21/2020","110.08","104.54","110.19","103.10","195.71M","3.03%"
"09/18/2020","106.84","110.40","110.88","106.09","287.10M","-3.17%"
"09/17/2020","110.34","109.72","112.20","108.71","178.01M","-1.60%"
"09/16/2020","112.13","115.23","116.00","112.04","155.03M","-2.95%"
"09/15/2020","115.54","118.33","118.83","113.61","184.64M","0.16%"
"09/14/2020","115.36","114.72","115.93","112.80","140.15M","3.00%"
"09/11/2020","112.00","114.57","115.23","110.00","180.86M","-1.31%"
"09/10/2020","113.49","120.36","120.50","112.50","182.27M","-3.26%"
"09/09/2020","117.32","117.26","119.14","115.26","176.94M","3.99%"
"09/08/2020","112.82","113.95","118.99","112.68","231.37M","-6.73%"
"09/04/2020","120.96","120.07","123.70","110.89","332.61M","0.07%"
"09/03/2020","120.88","126.91","128.84","120.50","257.60M","-8.01%"
"09/02/2020","131.40","137.59","137.98","127.00","200.12M","-2.07%"
"09/01/2020","134.18","132.76","134.80","130.53","152.47M","3.98%"
"08/31/2020","129.04","127.58","131.00","126.00","225.70M","3.39%"
