"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2020","162.85","163.75","164.15","162.06","59.14M","-0.88%"
"12/30/2020","164.29","167.05","167.10","164.12","64.19M","-1.09%"
"12/29/2020","166.10","165.50","167.53","164.06","97.46M","1.16%"
"12/28/2020","164.20","159.70","165.20","158.63","113.74M","3.51%"
"12/24/2020","158.63","159.70","160.10","158.45","29.04M","-0.39%"
"12/23/2020","159.26","160.25","160.51","159.21","41.88M","-0.66%"
"12/22/2020","160.33","160.14","161.10","159.00","47.64M","0.01%"
"12/21/2020","160.31","160.00","161.35","158.30","76.74M","0.14%"
"12/18/2020","160.08","162.20","162.47","158.58","119.91M","-1.06%"
"12/17/2020","161.80","162.50","163.18","161.05","69.49M","-0.15%"
"12/16/2020","162.05","158.80","162.35","158.18","88.55M","2.40%"
"12/15/2020","158.26","159.05","159.42","156.52","66.47M","0.26%"
"12/14/2020","157.85","157.15","159.52","156.30","83.12M","1.30%"
"12/11/2020","155.82","154.83","155.93","153.64","61.29M","0.48%"
"12/10/2020","155.07","154.45","157.10","153.80","60.60M","-0.09%"
"12/09/2020","155.21","158.39","158.72","154.40","82.02M","-2.30%"
"12/08/2020","158.86","157.95","159.21","156.00","65.73M","0.61%"
"12/07/2020","157.90","157.82","159.04","157.08","55.03M","-0.14%"
"12/04/2020","158.13","159.91","159.91","157.94","58.27M","-0.76%"
"12/03/2020","159.34","160.27","161.43","159.07","57.84M","-0.52%"
"12/02/2020","160.18","161.08","161.60","158.66","62.59M","-0.51%"
"12/01/2020","161.00","159.43","162.45","157.86","90.89M","1.64%"
"11/30/2020","158.40","160.42","161.42","156.28","81.28M","-0.85%"
"11/27/2020","159.77","160.56","160.81","159.50","47.86M","0.32%"
"11/25/2020","159.25","157.09","159.90","157.01","75.81M","2.15%"
"11/24/2020","155.90","155.02","156.71","154.31","72.04M","0.63%"
"11/23/2020","154.92","155.83","156.99","153.27","94.18M","-0.03%"
"11/20/2020","154.97","155.85","156.64","154.90","67.60M","-0.57%"
"11/19/2020","155.85","155.27","156.25","154.05","60.21M","0.37%"
"11/18/2020","155.27","156.70","157.00","155.26","58.34M","-0.96%"
"11/17/2020","156.78","159.18","159.46","156.76","68.89M","0.15%"
"11/16/2020","156.55","154.66","157.13","153.63","76.17M","0.07%"
"11/13/2020","156.44","156.10","157.09","154.27","75.25M","0.60%"
"11/12/2020","155.51","158.00","158.79","154.30","87.42M","-0.86%"
"11/11/2020","156.87","153.09","156.96","152.50","87.34M","3.37%"
"11/10/2020","151.75","154.75","155.70","150.97","131.82M","-3.46%"
"11/09/2020","157.19","161.55","164.45","155.61","143.81M","-5.06%"
"11/06/2020","165.57","165.23","166.10","161.60","92.95M","-0.32%"
"11/05/2020","166.10","166.00","168.34","164.44","115.79M","2.49%"
"11/04/2020","162.06","158.00","162.24","156.99","136.78M","6.32%"
"11/03/2020","152.42","150.93","153.74","149.05","97.96M","1.46%"
"11/02/2020","150.22","153.09","153.99","147.51","145.15M","-1.04%"
"10/30/2020","151.81","157.89","158.35","150.95","167.92M","-5.45%"
"10/29/2020","160.55","160.06","162.86","158.20","131.93M","1.52%"
"10/28/2020","158.14","162.46","163.20","158.12","111.77M","-3.76%"
"10/27/2020","164.32","161.25","164.58","160.57","85.82M","2.47%"
"10/26/2020","160.35","159.94","164.15","157.66","118.02M","0.08%"
"10/23/2020","160.22","159.55","160.27","157.00","69.33M","0.88%"
"10/22/2020","158.82","159.49","159.94","156.10","84.24M","-0.27%"
"10/21/2020","159.25","160.63","161.69","158.00","91.85M","-1.00%"
"10/20/2020","160.85","161.11","163.30","159.60","90.19M","0.31%"
"10/19/2020","160.36","164.98","166.45","159.64","104.47M","-2.00%"
"10/16/2020","163.64","168.16","169.98","158.00","129.49M","-1.98%"
"10/15/2020","166.93","164.60","167.79","164.00","104.47M","-0.75%"
"10/14/2020","168.19","172.35","173.24","167.00","116.58M","-2.32%"
"10/13/2020","172.18","173.40","174.62","171.21","114.89M","0.02%"
"10/12/2020","172.15","167.50","174.81","166.98","167.28M","4.75%"
"10/09/2020","164.33","160.50","164.45","159.89","98.16M","3.01%"
"10/08/2020","159.53","161.25","161.66","158.75","63.48M","-0.16%"
"10/07/2020","159.78","156.75","160.00","156.62","86.19M","3.09%"
"10/06/2020","155.00","158.25","159.10","154.50","101.74M","-3.10%"
"10/05/2020","159.96","157.29","160.13","157.04","75.51M","2.37%"
"10/02/2020","156.25","157.68","159.79","156.15","112.26M","-2.99%"
"10/01/2020","161.06","160.40","161.20","158.60","99.44M","2.30%"
"09/30/2020","157.44","157.06","160.64","156.70","97.92M","0.12%"
"09/29/2020","157.24","158.77","159.41","156.63","70.07M","-0.92%"
"09/28/2020","158.70","157.44","158.75","155.86","84.48M","2.55%"
"09/25/2020","154.76","152.74","155.08","149.95","92.30M","2.49%"
"09/24/2020","150.99","148.89","153.46","148.25","110.59M","0.66%"
"09/23/2020","149.99","156.02","156.35","149.62","113.05M","-4.13%"
"09/22/2020","156.45","151.69","156.70","150.01","138.98M","5.69%"
"09/21/2020","148.02","145.32","148.10","143.55","122.36M","0.19%"
"09/18/2020","147.75","151.59","151.89","145.28","177.85M","-1.79%"
"09/17/2020","150.44","150.46","151.47","148.63","128.98M","-2.25%"
"09/16/2020","153.90","159.00","159.36","153.71","90.62M","-2.47%"
"09/15/2020","157.81","156.81","158.75","155.45","80.43M","1.71%"
"09/14/2020","155.15","158.65","159.37","154.80","90.59M","-0.43%"
"09/11/2020","155.81","160.43","160.87","154.20","101.88M","-1.85%"
"09/10/2020","158.76","165.36","167.49","158.53","106.61M","-2.86%"
"09/09/2020","163.43","160.15","165.16","159.25","103.77M","3.77%"
"09/08/2020","157.49","157.20","162.54","156.50","121.88M","-4.39%"
"09/04/2020","164.73","165.90","169.07","155.56","175.64M","-2.18%"
"09/03/2020","168.40","174.25","174.42","165.15","163.22M","-4.63%"
"09/02/2020","176.57","177.35","177.61","174.33","78.63M","0.92%"
"09/01/2020","174.96","174.48","175.69","173.35","69.53M","1.40%"
"08/31/2020","172.55","170.45","174.75","170.25","83.72M","1.45%"
"08/28/2020","170.09","171.15","171.67","169.32","57.94M","0.05%"
"08/27/2020","170.00","172.50","172.65","168.90","85.30M","-1.22%"
"08/26/2020","172.09","167.56","172.59","167.23","130.17M","2.85%"
"08/25/2020","167.32","164.75","167.87","163.35","79.86M","1.18%"
"08/24/2020","165.37","165.51","169.02","162.88","93.33M","0.69%"
"08/21/2020","164.24","164.75","165.72","163.77","71.52M","-0.38%"
"08/20/2020","164.87","162.60","165.63","161.90","66.65M","1.13%"
"08/19/2020","163.02","165.15","165.79","162.80","83.70M","-1.57%"
"08/18/2020","165.62","160.60","166.00","160.29","106.92M","4.09%"
"08/17/2020","159.12","158.66","159.75","157.71","53.82M","1.09%"
"08/14/2020","157.40","158.91","158.91","156.00","55.03M","-0.41%"
"08/13/2020","158.05","159.15","160.88","157.75","62.98M","-0.04%"
"08/12/2020","158.11","155.40","158.72","155.07","70.54M","2.65%"
"08/11/2020","154.03","155.66","157.96","153.65","74.36M","-2.15%"
"08/10/2020","157.41","158.52","158.63","155.08","63.35M","-0.61%"
"08/07/2020","158.37","161.20","162.04","157.03","78.72M","-1.79%"
"08/06/2020","161.25","159.72","162.37","158.27","78.81M","0.62%"
"08/05/2020","160.25","157.19","160.68","156.37","78.60M","2.11%"
"08/04/2020","156.94","155.06","158.36","155.06","93.89M","0.87%"
"08/03/2020","155.59","159.03","159.20","155.20","101.49M","-1.67%"
"07/31/2020","158.23","162.20","162.34","157.55","161.67M","3.70%"
"07/30/2020","152.59","150.70","154.60","150.25","122.57M","0.60%"
"07/29/2020","151.68","151.55","151.96","149.84","59.48M","1.11%"
"07/28/2020","150.02","152.71","153.85","149.79","62.53M","-1.79%"
"07/27/2020","152.76","153.10","154.90","150.79","83.41M","1.54%"
"07/24/2020","150.45","146.50","151.58","144.40","112.65M","0.75%"
"07/23/2020","149.33","154.91","154.91","148.50","113.14M","-3.66%"
"07/22/2020","155.00","156.25","157.50","153.26","82.08M","-1.22%"
"07/21/2020","156.91","161.62","162.03","155.29","122.70M","-1.83%"
"07/20/2020","159.84","150.01","160.07","149.70","151.96M","7.93%"
"07/17/2020","148.10","150.45","151.20","147.42","95.23M","-1.27%"
"07/16/2020","150.00","148.55","151.60","145.91","127.88M","-0.29%"
"07/15/2020","150.44","154.01","154.92","148.66","115.78M","-2.44%"
"07/14/2020","154.20","154.45","156.37","147.50","144.64M","-0.64%"
"07/13/2020","155.20","162.55","167.21","153.42","154.41M","-3.00%"
"07/10/2020","160.00","159.59","160.75","156.78","109.72M","0.55%"
"07/09/2020","159.13","155.80","159.69","153.70","127.77M","3.29%"
"07/08/2020","154.06","151.13","154.20","150.62","100.75M","2.70%"
"07/07/2020","150.01","152.93","153.48","149.50","105.15M","-1.86%"
"07/06/2020","152.85","146.75","152.99","146.50","137.61M","5.77%"
"07/02/2020","144.51","145.60","147.78","143.56","131.87M","0.40%"
"07/01/2020","143.94","137.90","144.75","137.70","127.27M","4.35%"
"06/30/2020","137.94","134.25","138.48","133.75","75.39M","2.92%"
"06/29/2020","134.02","134.50","134.84","131.50","84.47M","-0.46%"
"06/26/2020","134.64","138.75","139.13","134.40","130.02M","-2.24%"
"06/25/2020","137.73","136.98","137.81","135.61","59.37M","0.74%"
"06/24/2020","136.72","139.00","139.80","136.05","90.53M","-1.09%"
"06/23/2020","138.22","136.30","139.16","135.90","84.63M","1.86%"
"06/22/2020","135.69","134.22","135.75","133.45","64.18M","1.45%"
"06/19/2020","133.75","133.90","134.87","132.95","115.54M","0.79%"
"06/18/2020","132.70","132.35","132.98","131.81","49.76M","0.49%"
"06/17/2020","132.05","132.38","132.75","131.59","59.19M","0.99%"
"06/16/2020","130.76","131.00","131.00","128.80","71.91M","1.66%"
"06/15/2020","128.63","126.33","129.20","125.40","77.47M","1.08%"
"06/12/2020","127.25","130.06","131.07","125.17","108.72M","-0.51%"
"06/11/2020","127.90","130.18","133.57","126.81","116.00M","-3.38%"
"06/10/2020","132.37","132.25","136.12","131.31","98.92M","1.79%"
"06/09/2020","130.04","126.47","131.32","126.25","103.52M","3.04%"
"06/08/2020","126.20","125.01","126.50","124.37","79.41M","1.65%"
"06/05/2020","124.15","122.23","124.43","121.86","66.13M","0.91%"
"06/04/2020","123.03","123.87","125.38","122.50","58.97M","-0.72%"
"06/03/2020","123.92","123.40","124.40","123.06","53.42M","0.24%"
"06/02/2020","123.62","123.35","123.68","122.27","50.60M","0.06%"
"06/01/2020","123.55","122.40","123.85","122.21","58.76M","1.17%"
"05/29/2020","122.12","120.80","122.12","119.91","70.59M","1.72%"
"05/28/2020","120.06","119.22","121.85","118.91","63.86M","-0.38%"
"05/27/2020","120.52","120.25","120.68","116.50","101.14M","-0.47%"
"05/26/2020","121.09","122.90","123.10","120.70","71.36M","-0.62%"
"05/22/2020","121.84","122.75","123.49","121.51","57.34M","-0.41%"
"05/21/2020","122.34","125.00","126.27","122.13","102.29M","-2.05%"
"05/20/2020","124.90","123.89","125.00","123.36","79.96M","1.98%"
"05/19/2020","122.47","121.49","124.25","121.45","86.41M","0.96%"
