"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2020","162.85","159.70","167.53","158.63","334.52M","2.66%"
"12/20/2020","158.63","160.00","161.35","158.30","195.29M","-0.90%"
"12/13/2020","160.08","157.15","163.18","156.30","427.54M","2.73%"
"12/06/2020","155.82","157.82","159.21","153.64","324.67M","-1.46%"
"11/29/2020","158.13","160.42","162.45","156.28","350.86M","-1.03%"
"11/22/2020","159.77","155.83","160.81","153.27","289.88M","3.10%"
"11/15/2020","154.97","154.66","159.46","153.63","331.21M","-0.94%"
"11/08/2020","156.44","161.55","164.45","150.97","525.64M","-5.51%"
"11/01/2020","165.57","153.09","168.34","147.51","588.62M","9.06%"
"10/25/2020","151.81","159.94","164.58","150.95","615.46M","-5.25%"
"10/18/2020","160.22","164.98","166.45","156.10","440.10M","-2.09%"
"10/11/2020","163.64","167.50","174.81","158.00","632.71M","-0.42%"
"10/04/2020","164.33","157.29","164.45","154.50","425.07M","5.17%"
"09/27/2020","156.25","157.44","161.20","155.86","464.17M","0.97%"
"09/20/2020","154.76","145.32","156.70","143.55","577.28M","4.75%"
"09/13/2020","147.75","158.65","159.37","145.28","568.48M","-5.18%"
"09/06/2020","155.81","157.20","167.49","154.20","434.15M","-5.41%"
"08/30/2020","164.73","170.45","177.61","155.56","570.73M","-3.15%"
"08/23/2020","170.09","165.51","172.65","162.88","446.59M","3.56%"
"08/16/2020","164.24","158.66","166.00","157.71","382.61M","4.34%"
"08/09/2020","157.40","158.52","160.88","153.65","326.27M","-0.61%"
"08/02/2020","158.37","159.03","162.37","155.06","431.51M","0.09%"
"07/26/2020","158.23","153.10","162.34","149.79","489.66M","5.18%"
"07/19/2020","150.45","150.01","162.03","144.40","582.53M","1.58%"
"07/12/2020","148.10","162.55","167.21","145.91","637.94M","-7.44%"
"07/05/2020","160.00","146.75","160.75","146.50","581.01M","10.72%"
"06/28/2020","144.51","134.50","147.78","131.50","419.00M","7.33%"
"06/21/2020","134.64","134.23","139.80","133.45","428.73M","0.67%"
"06/14/2020","133.75","126.33","134.87","125.40","373.86M","5.11%"
"06/07/2020","127.25","125.01","136.12","124.37","506.58M","2.50%"
"05/31/2020","124.15","122.40","125.38","121.86","287.88M","1.66%"
"05/24/2020","122.12","122.90","123.10","116.50","306.95M","0.23%"
"05/17/2020","121.84","120.22","126.27","119.20","413.33M","1.12%"
"05/10/2020","120.49","118.74","120.98","116.89","380.00M","1.27%"
"05/03/2020","118.98","112.82","119.36","112.82","356.68M","4.09%"
"04/26/2020","114.30","122.16","123.75","112.91","696.28M","-5.15%"
"04/19/2020","120.51","119.50","122.25","113.98","527.28M","1.48%"
"04/12/2020","118.75","102.00","123.05","101.90","832.77M","16.26%"
"04/05/2020","102.14","96.80","102.65","96.50","390.40M","7.14%"
"03/29/2020","95.33","96.14","99.65","94.46","466.35M","0.34%"
"03/22/2020","95.00","91.39","97.82","90.60","661.15M","2.93%"
"03/15/2020","92.30","82.08","97.85","81.30","993.95M","3.42%"
"03/08/2020","89.25","88.69","94.71","83.75","814.99M","-6.11%"
"03/01/2020","95.05","95.32","99.82","93.47","581.82M","0.92%"
"02/23/2020","94.19","100.16","101.96","90.56","712.89M","-10.13%"
"02/16/2020","104.80","106.25","109.25","104.40","265.89M","-1.82%"
"02/09/2020","106.74","104.25","109.30","104.25","395.49M","2.67%"
"02/02/2020","103.96","100.53","104.93","100.01","476.86M","3.51%"
"01/26/2020","100.44","91.00","102.79","90.77","606.65M","7.90%"
"01/19/2020","93.08","93.25","95.13","92.37","263.50M","-0.17%"
"01/12/2020","93.24","94.57","94.90","92.75","315.71M","-0.98%"
"01/05/2020","94.16","93.00","95.89","93.00","354.87M","0.44%"
"12/29/2019","93.75","93.70","94.90","91.61","279.80M","0.28%"
"12/22/2019","93.49","89.41","95.07","89.23","304.64M","4.66%"
"12/15/2019","89.32","88.35","90.15","87.85","360.82M","1.45%"
"12/08/2019","88.05","87.53","88.45","86.75","259.43M","0.53%"
"12/01/2019","87.58","90.22","90.28","87.00","321.80M","-2.73%"
"11/24/2019","90.04","87.66","91.23","87.66","232.78M","3.16%"
"11/17/2019","87.29","86.92","88.13","86.14","261.04M","0.36%"
"11/10/2019","86.97","88.90","89.31","86.64","262.28M","-2.60%"
"11/03/2019","89.29","90.05","90.75","88.70","229.29M","-0.31%"
"10/27/2019","89.57","87.40","89.87","87.13","280.13M","1.71%"
"10/20/2019","88.07","88.48","89.49","84.75","429.61M","0.22%"
"10/13/2019","87.88","86.45","89.94","86.10","278.84M","1.48%"
"10/06/2019","86.60","86.58","87.39","85.25","258.10M","-0.44%"
"09/29/2019","86.98","86.35","87.78","84.25","307.67M","0.82%"
"09/22/2019","86.27","88.85","89.79","85.69","376.56M","-3.83%"
"09/15/2019","89.71","91.20","91.63","89.05","317.57M","-2.46%"
"09/08/2019","91.97","92.05","92.68","90.27","256.82M","0.32%"
"09/01/2019","91.68","88.50","92.10","88.40","233.90M","3.22%"
"08/25/2019","88.81","88.35","89.99","87.18","292.33M","1.52%"
"08/18/2019","87.48","90.90","91.48","87.26","294.57M","-2.40%"
"08/11/2019","89.63","89.80","91.59","87.86","374.77M","-0.83%"
"08/04/2019","90.38","88.51","91.71","87.44","444.73M","-0.86%"
"07/28/2019","91.16","96.50","96.61","90.40","430.89M","-6.17%"
"07/21/2019","97.15","98.56","100.07","96.23","346.13M","-1.09%"
"07/14/2019","98.23","101.07","101.32","97.58","296.96M","-2.31%"
"07/07/2019","100.55","96.71","101.79","96.41","379.76M","3.50%"
"06/30/2019","97.15","96.15","97.29","95.33","203.47M","2.60%"
"06/23/2019","94.68","95.63","95.84","93.62","258.33M","-0.92%"
"06/16/2019","95.57","93.82","96.76","93.77","331.52M","2.23%"
"06/09/2019","93.48","91.10","94.68","90.90","354.78M","3.64%"
"06/02/2019","90.20","88.00","90.31","83.60","550.30M","1.63%"
"05/26/2019","88.75","91.64","92.46","88.64","304.89M","-2.64%"
"05/19/2019","91.16","92.63","93.95","90.21","370.68M","-2.45%"
"05/12/2019","93.45","91.83","95.88","90.79","490.99M","-1.11%"
"05/05/2019","94.50","95.90","97.95","92.80","528.50M","-3.69%"
"04/28/2019","98.12","97.45","98.22","94.09","419.77M","0.61%"
"04/21/2019","97.53","92.77","97.55","92.28","524.43M","4.78%"
"04/14/2019","93.08","92.10","93.82","90.94","248.25M","1.01%"
"04/07/2019","92.15","91.66","92.65","91.26","324.01M","0.31%"
"03/31/2019","91.86","90.01","91.93","89.94","378.64M","3.17%"
"03/24/2019","89.04","87.89","90.29","87.28","413.16M","0.91%"
"03/17/2019","88.24","85.64","91.19","85.63","603.79M","3.06%"
"03/10/2019","85.62","81.31","85.94","81.30","430.81M","5.65%"
"03/03/2019","81.04","84.25","85.47","79.33","469.38M","-3.05%"
"02/24/2019","83.59","82.07","83.71","80.75","340.00M","2.46%"
"02/17/2019","81.58","80.05","81.75","80.03","271.98M","1.47%"
"02/10/2019","80.40","80.05","82.82","79.30","404.01M","1.24%"
"02/03/2019","79.41","81.15","83.61","78.34","472.12M","-2.34%"
"01/27/2019","81.31","82.18","86.82","79.54","753.42M","-2.65%"
"01/20/2019","83.53","84.05","84.17","80.51","413.83M","-1.51%"
"01/13/2019","84.81","80.75","85.81","79.76","572.01M","3.39%"
"01/06/2019","82.03","80.12","83.83","79.46","688.35M","4.14%"
"12/30/2018","78.77","75.54","79.70","73.05","621.92M","6.59%"
"12/23/2018","73.90","67.30","75.67","65.35","723.66M","7.30%"
"12/16/2018","68.87","78.30","79.23","68.20","955.54M","-13.47%"
"12/09/2018","79.60","81.19","85.25","79.25","639.52M","-2.28%"
"12/02/2018","81.46","88.47","88.92","80.49","638.44M","-3.61%"
"11/25/2018","84.51","76.95","84.80","76.21","657.49M","12.52%"
"11/18/2018","75.10","78.85","79.06","71.00","541.87M","-5.73%"
"11/11/2018","79.67","84.91","85.43","77.33","674.40M","-6.95%"
"11/04/2018","85.62","82.88","89.20","79.82","610.23M","2.82%"
"10/28/2018","83.28","83.00","84.87","73.82","1.02B","1.38%"
"10/21/2018","82.14","89.20","90.47","80.15","868.04M","-6.87%"
"10/14/2018","88.20","89.75","92.25","86.71","587.47M","-1.37%"
