Fecha de cotización,Apertura,Cierre,Máximo,Mínimo,Promedio,Cantidad negociada,Monto negociado,Fecha anterior,Cierre anterior corregido
30/12/2022,6.75,6.75,6.75,6.75,6.7541554959785515,7087,47866.7,29/12/2022,6.82
29/12/2022,6.8,6.82,6.9,6.8,6.825372996868667,10858,74109.9,28/12/2022,6.8
28/12/2022,6.72,6.8,6.8,6.7,6.7351482546608485,20168,135834.47,27/12/2022,6.75
27/12/2022,6.75,6.75,6.75,6.75,6.760334256329114,5056,34180.25,26/12/2022,6.72
26/12/2022,6.55,6.72,6.72,6.55,6.645719360568384,10134,67347.72,23/12/2022,6.55
23/12/2022,6.5,6.55,6.55,6.5,6.5170507589358575,6127,39929.97,22/12/2022,6.4
22/12/2022,6.4,6.4,6.4,6.4,6.401054136144363,11194,71653.4,21/12/2022,6.41
21/12/2022,6.36,6.41,6.41,6.36,6.387004850357489,139165,888847.53,20/12/2022,6.35
20/12/2022,6.3,6.35,6.35,6.3,6.300579558412441,1039205,6547593.78,19/12/2022,6.3
19/12/2022,6.3,6.3,6.45,6.3,6.303249325558034,316558,1995344,16/12/2022,6.3
16/12/2022,6.46,6.3,6.46,6.3,6.330372569527371,364281,2306034.45,15/12/2022,6.46
15/12/2022,6.45,6.46,6.46,6.45,6.460245163790843,263171,1700149.18,14/12/2022,6.55
14/12/2022,6.5,6.55,6.56,6.5,6.5336343999999995,12500,81670.43,13/12/2022,6.56
13/12/2022,6.69,6.56,6.69,6.56,6.587900142908182,67176,442548.78,12/12/2022,6.7
12/12/2022,7.05,6.7,7.05,6.65,6.781758766381017,41893,284108.22,07/12/2022,7.09
07/12/2022,6.51,7.09,7.1,6.45,6.5761087845968715,103875,683093.3,06/12/2022,6.6
06/12/2022,6.5,6.6,6.6,6.48,6.480202352188743,1125760,7295152.6,05/12/2022,6.5
05/12/2022,6.55,6.5,6.55,6.5,6.526322672624886,307922,2009598.33,02/12/2022,6.65
02/12/2022,6.65,6.65,6.65,6.65,6.65004437413181,129580,861712.75,01/12/2022,6.7
01/12/2022,6.69,6.7,6.7,6.68,6.6930836038961035,36960,247376.37,30/11/2022,6.7
30/11/2022,6.82,6.7,6.82,6.7,6.799157932479071,1288519,8760844.18,29/11/2022,6.82
29/11/2022,6.82,6.82,6.82,6.82,6.818725124378109,3216,21929.02,28/11/2022,6.8
28/11/2022,7,6.8,7,6.8,6.874840296164029,129928,893234.25,25/11/2022,7.05
25/11/2022,7.15,7.05,7.2,7.05,7.1999827857415815,31506440,226845825.64,24/11/2022,7.15
24/11/2022,7.15,7.15,7.15,7.15,7.1518063073664395,8498,60776.05,23/11/2022,7.2
23/11/2022,7,7.2,7.2,7,7.197556394531785,3268269,23523550.44,22/11/2022,6.95
22/11/2022,6.9,6.95,7,6.9,6.995292213787767,1110129,7765676.75,21/11/2022,6.9
21/11/2022,7,6.9,7,6.9,6.974908542387696,141869,989523.3,18/11/2022,7.01
18/11/2022,7.05,7.01,7.05,7,7.00575404699739,19150,134160.19,17/11/2022,7.13
17/11/2022,7.02,7.13,7.13,7.02,7.0886661934920285,18316,129836.01,16/11/2022,7.2
16/11/2022,7,7.2,7.2,7,7.19821185023313,1893583,13630411.59,15/11/2022,7
15/11/2022,7.1,7,7.1,7,7.020365609825764,7002,49156.6,14/11/2022,7.2
14/11/2022,7.09,7.2,7.2,7,7.19838569058573,637734,4590655.3,11/11/2022,7.2
11/11/2022,6.75,7.2,7.2,6.75,7.194670363174868,18618111,133951171.43,10/11/2022,6.8
10/11/2022,6.75,6.8,6.8,6.75,6.7639927006634935,109873,743180.17,09/11/2022,6.75
09/11/2022,6.65,6.75,6.81,6.65,6.729391344430217,97625,656956.83,08/11/2022,6.65
08/11/2022,6.65,6.65,6.67,6.65,6.652925881216803,41420,275564.19,07/11/2022,6.7
07/11/2022,6.8,6.7,6.8,6.7,6.761582922386601,22509,152196.47,04/11/2022,6.8
04/11/2022,6.95,6.8,6.95,6.6,6.76139019833039,58337,394439.22,03/11/2022,7
03/11/2022,6.55,7,7.01,6.55,6.992135022095408,6440931,45035859.22,02/11/2022,6.5
02/11/2022,6.3,6.5,6.6,6.3,6.459618302319472,563404,3639374.79,31/10/2022,6.3
31/10/2022,6.25,6.3,6.3,6.24,6.253586816539341,79979,500155.62,28/10/2022,6.25
28/10/2022,6.21,6.25,6.25,6.21,6.223611145587688,64456,401149.08,27/10/2022,6.24
27/10/2022,6.2,6.24,6.24,6.2,6.210468552131702,52118,323677.2,26/10/2022,6.2
26/10/2022,6.13,6.2,6.25,6.12,6.157838886558399,66748,411023.43,25/10/2022,6.1
25/10/2022,6.1,6.1,6.1,6.1,6.098950660555405,18545,113105.04,24/10/2022,6.05
24/10/2022,6.11,6.05,6.11,6.05,6.050363790541693,404491,2447317.7,21/10/2022,6.11
21/10/2022,6.05,6.11,6.11,6.05,6.068205752171757,108898,660815.47,20/10/2022,6.05
20/10/2022,6.05,6.05,6.05,6.03,6.044273214602161,90288,545725.34,19/10/2022,6.03
19/10/2022,6.05,6.03,6.05,6.03,6.047633664441188,36846,222831.11,18/10/2022,6
18/10/2022,6,6,6.02,5.96,5.99967822608773,1482283,8893221.04,17/10/2022,5.95
17/10/2022,5.9,5.95,5.95,5.9,5.90644317633146,285814,1688144.15,14/10/2022,5.9
