Fecha de cotización,Apertura,Cierre,Máximo,Mínimo,Promedio,Cantidad negociada,Monto negociado,Fecha anterior,Cierre anterior corregido
30/12/2022,2.23,2.23,2.23,2.23,2.228937494846211,24254,54060.65,29/12/2022,2.21
29/12/2022,2.2,2.21,2.21,2.18,2.190059375140212,133726,292867.88,28/12/2022,2.2
28/12/2022,2.23,2.2,2.23,2.2,2.2113210556844547,41376,91495.62,27/12/2022,2.23
27/12/2022,2.24,2.23,2.24,2.23,2.232450313576539,22642,50547.14,26/12/2022,2.22
26/12/2022,2.22,2.22,2.22,2.22,2.2200261166543895,29866,66303.3,23/12/2022,2.22
23/12/2022,2.2,2.22,2.22,2.2,2.2041801924938778,17559,38703.2,22/12/2022,2.22
22/12/2022,2.2,2.22,2.22,2.2,2.210312336644015,30608,67653.24,21/12/2022,2.22
21/12/2022,2.21,2.22,2.22,2.21,2.2198524138785842,112951,250734.55,20/12/2022,2.2
20/12/2022,2.25,2.2,2.25,2.2,2.2055385277195247,37194,82032.8,19/12/2022,2.21
19/12/2022,2.21,2.21,2.21,2.21,2.2101629794021775,14419,31868.34,16/12/2022,2.21
16/12/2022,2.27,2.21,2.27,2.21,2.227052646317558,57136,127244.88,15/12/2022,2.27
15/12/2022,2.27,2.27,2.27,2.27,2.27,16798,38131.46,14/12/2022,2.28
14/12/2022,2.28,2.28,2.28,2.28,2.28,225950,515166,13/12/2022,2.28
13/12/2022,2.26,2.28,2.29,2.26,2.2788079563645565,205521,468342.89,12/12/2022,2.25
12/12/2022,2.29,2.25,2.29,2.25,2.2590277255992186,66545,150327,07/12/2022,2.29
07/12/2022,2.23,2.29,2.29,2.1,2.2129495112987025,223654,494935.01,06/12/2022,2.23
06/12/2022,2.23,2.23,2.23,2.23,2.23,42450,94663.5,05/12/2022,2.25
05/12/2022,2.28,2.25,2.28,2.21,2.2397449597419845,1670599,3741715.69,02/12/2022,2.28
02/12/2022,2.27,2.28,2.28,2.27,2.2757235188509877,25065,57041.01,01/12/2022,2.27
01/12/2022,2.25,2.27,2.27,2.25,2.2681912772045436,23066,52318.1,30/11/2022,2.25
30/11/2022,2.27,2.25,2.28,2.25,2.255237747913251,293399,661684.5,29/11/2022,2.27
29/11/2022,2.27,2.27,2.27,2.27,2.270178839359179,41322,93808.33,28/11/2022,2.27
28/11/2022,2.27,2.27,2.27,2.27,2.270688999033253,65167,147973.99,25/11/2022,2.27
25/11/2022,2.27,2.27,2.28,2.27,2.2731408842984795,51702,117525.93,24/11/2022,2.27
24/11/2022,2.24,2.27,2.27,2.24,2.2592679056599465,175196,395814.7,23/11/2022,2.23
23/11/2022,2.21,2.23,2.23,2.21,2.2162580762289217,93639,207528.19,22/11/2022,2.22
22/11/2022,2.21,2.22,2.22,2.2,2.214448147560352,396963,879053.98,21/11/2022,2.2
21/11/2022,2.23,2.2,2.25,2.16,2.177823052376984,246005,535755.36,18/11/2022,2.25
18/11/2022,2.25,2.25,2.25,2.25,2.250083796899041,42245,95054.79,17/11/2022,2.25
17/11/2022,2.26,2.25,2.26,2.25,2.2509520950231554,144891,326142.7,16/11/2022,2.25
16/11/2022,2.25,2.25,2.25,2.25,2.250036056543972,722199,1624973.79,15/11/2022,2.25
15/11/2022,2.26,2.25,2.26,2.25,2.255778573254922,35199,79401.15,14/11/2022,2.27
14/11/2022,2.27,2.27,2.27,2.27,2.270316034126017,35281,80099.02,11/11/2022,2.3
11/11/2022,2.28,2.3,2.3,2.28,2.280510833965357,588058,1341072.64,10/11/2022,2.3
10/11/2022,2.32,2.3,2.32,2.29,2.3019509537238068,120213,276724.43,09/11/2022,2.32
09/11/2022,2.3,2.32,2.32,2.3,2.3006573005519315,239160,550225.2,08/11/2022,2.3
08/11/2022,2.3,2.3,2.3,2.3,2.300676579582673,65033,149619.9,07/11/2022,2.3
07/11/2022,2.3,2.3,2.32,2.27,2.3063223591549296,227200,523996.44,04/11/2022,2.3
04/11/2022,2.29,2.3,2.3,2.28,2.2991417820032214,491099,1129106.23,03/11/2022,2.27
03/11/2022,2.27,2.27,2.27,2.27,2.2700724584103513,202875,460540.95,02/11/2022,2.27
02/11/2022,2.26,2.27,2.27,2.26,2.268431594351936,126415,286763.78,31/10/2022,2.26
31/10/2022,2.25,2.26,2.26,2.25,2.250301606336821,194293,437217.85,28/10/2022,2.25
28/10/2022,2.25,2.25,2.25,2.25,2.25,79045,177851.25,27/10/2022,2.25
27/10/2022,2.25,2.25,2.25,2.25,2.2502783643693607,36463,82051.9,26/10/2022,2.28
26/10/2022,2.27,2.28,2.3,2.27,2.295648376436028,953150,2188097.25,25/10/2022,2.27
25/10/2022,2.25,2.27,2.27,2.25,2.2578777928578724,137046,309433.12,24/10/2022,2.2
24/10/2022,2.2,2.2,2.2,2.2,2.2009685744044263,150737,331767.4,21/10/2022,2.23
21/10/2022,2.23,2.23,2.23,2.23,2.2301236461674336,215130,479766.5,20/10/2022,2.25
20/10/2022,2.21,2.25,2.25,2.2,2.2405487415357097,31308,70147.1,19/10/2022,2.23
19/10/2022,2.25,2.23,2.25,2.23,2.247178615507871,92366,207562.9,18/10/2022,2.25
