Fecha de cotización,Apertura,Cierre,Máximo,Mínimo,Promedio,Cantidad negociada,Monto negociado,Fecha anterior,Cierre anterior corregido
30/12/2022,24,23.9,24,23.9,23.926108374384235,203,4857,29/12/2022,23.95
29/12/2022,23.95,23.95,23.95,23.95,23.95,1000,23950,28/12/2022,24
28/12/2022,23.65,24,24.05,23.65,23.77832210655236,1633,38830,27/12/2022,23.85
27/12/2022,23.48,23.85,23.85,23.48,23.591829443964276,3471,81887.24,23/12/2022,23.2
26/12/2022,,,,,,,,23/12/2022,23.2
23/12/2022,23,23.2,23.2,23,23.1664,1125,26062.2,22/12/2022,23
22/12/2022,23.2,23,23.2,22.69,22.962823890649762,10096,231832.67,21/12/2022,23.1
21/12/2022,23.5,23.1,23.5,22.9,23.32985268630849,5770,134613.25,20/12/2022,23.15
20/12/2022,23,23.15,23.15,23,23.041071932299015,1418,32672.24,19/12/2022,23
19/12/2022,23.14,23,23.57,23,23.28983107132544,6926,161305.37,16/12/2022,22.92
16/12/2022,22.84,22.92,23.17,22.84,23.06508163265306,980,22603.78,15/12/2022,22.85
15/12/2022,23.7,22.85,23.7,22.85,23.015668807595645,3581,82419.11,14/12/2022,23.1
14/12/2022,23.28,23.1,23.4,23,23.212129002103296,4279,99324.7,13/12/2022,23.4
13/12/2022,24,23.4,24,23.4,23.53291896869245,4344,102227,12/12/2022,23.5
12/12/2022,23.5,23.5,23.5,23,23.1659715407262,4076,94424.5,07/12/2022,24.15
07/12/2022,23.5,24.15,24.2,22.2,23.393735265700485,10350,242125.16,06/12/2022,23.35
06/12/2022,23.6,23.35,23.6,23.35,23.532808988764046,445,10472.1,05/12/2022,23.35
05/12/2022,24,23.35,24,23.35,23.58514357053683,801,18891.7,02/12/2022,24.55
02/12/2022,24.4,24.55,24.55,24.4,24.44472891566265,332,8115.65,01/12/2022,24.4
01/12/2022,24.5,24.4,24.8,24.39,24.400236934985763,299196,7300453.29,30/11/2022,24.39
30/11/2022,23.45,24.39,24.39,23.43,23.948305993855126,19203,459879.32,29/11/2022,23.75
29/11/2022,23.2,23.75,23.75,23.2,23.475,500,11737.5,28/11/2022,22.79
28/11/2022,23.13,22.79,23.13,22.79,22.993333333333332,2874,66082.84,25/11/2022,23.35
25/11/2022,23.86,23.35,23.92,23.3,23.812265834076715,1121,26693.55,24/11/2022,23.45
24/11/2022,23.45,23.45,23.45,23.45,23.45307692307692,78,1829.34,23/11/2022,24
23/11/2022,24.3,24,24.3,23.68,24.113944793850454,2862,69014.11,22/11/2022,24.25
22/11/2022,23.9,24.25,25.49,23.9,24.231404857055026,3253,78824.76,21/11/2022,23.7
21/11/2022,22.55,23.7,23.75,22.5,23.401761791518034,5046,118085.29,18/11/2022,22.7
18/11/2022,23.03,22.7,23.03,22.25,22.518240115718417,6222,140108.49,17/11/2022,23.05
17/11/2022,23.49,23.05,23.49,22.8,23.16295168067227,4760,110255.65,16/11/2022,23.41
16/11/2022,24.38,23.41,24.38,23.41,23.995983961855224,4614,110717.47,15/11/2022,24.45
15/11/2022,25.35,24.45,25.35,24.36,24.59735564459109,4243,104366.58,14/11/2022,24.2
14/11/2022,24.5,24.2,24.5,24.2,24.306306753147656,2621,63706.83,11/11/2022,24.95
11/11/2022,26,24.95,26,24.62,24.93327013019846,7911,197247.1,10/11/2022,26
10/11/2022,26,26,27.99,25.5,26.003024684345483,369708,9613526.25,09/11/2022,24.19
09/11/2022,25.1,24.19,25.1,24.1,24.373131574935204,6559,159863.37,08/11/2022,25.15
08/11/2022,26,25.15,26,25.15,25.809038519866544,3297,85092.4,07/11/2022,25.82
07/11/2022,25,25.82,26,25,25.571672172808135,11805,301873.59,04/11/2022,25.1
04/11/2022,24.95,25.1,25.5,24.94,25.072131284411583,614437,15405245.13,03/11/2022,24.75
03/11/2022,24.5,24.75,24.75,24.18,24.598114092211514,3839,94432.16,02/11/2022,24.5
02/11/2022,25,24.5,25,24.5,24.837636063771306,5457,135538.98,31/10/2022,24.5
31/10/2022,24.29,24.5,24.5,24,24.29685081466395,7856,190876.06,28/10/2022,24
28/10/2022,23.4,24,24.2,23.2,23.536745562130175,6760,159108.4,27/10/2022,23.16
27/10/2022,22.52,23.16,23.16,22.05,22.817945823927765,6645,151625.25,26/10/2022,22.52
26/10/2022,23,22.52,23,22.52,22.65276073619632,4075,92310,25/10/2022,22
25/10/2022,21.9,22,22,21.8,21.967264895908112,1393,30600.4,24/10/2022,22
24/10/2022,21.8,22,22,21.8,21.84146100691017,1013,22125.4,21/10/2022,22.12
21/10/2022,21.8,22.12,22.12,21.8,21.96981627296588,762,16741,20/10/2022,21.91
20/10/2022,22.15,21.91,22.18,21.91,22.031179394487122,2213,48755,19/10/2022,22.11
19/10/2022,22.2,22.11,22.2,22,22.11474885844749,1095,24215.65,18/10/2022,21.82
18/10/2022,22.3,21.82,22.3,21.82,21.928514851485147,505,11073.9,17/10/2022,22.55
17/10/2022,22.22,22.55,22.55,21.2,22.150055172413794,1450,32117.58,11/10/2022,20.4
14/10/2022,,,,,21.1,50,1055,11/10/2022,20.4
13/10/2022,,,,,21,100,2100,11/10/2022,20.4
12/10/2022,,,,,22.353333333333335,3,67.06,11/10/2022,20.4
11/10/2022,20.97,20.4,21,20.4,20.682993381468112,3324,68750.27,10/10/2022,21.5
10/10/2022,22.27,21.5,22.27,21.5,21.800227963525835,658,14344.55,07/10/2022,21.54
07/10/2022,21.2,21.54,21.56,21.2,21.336536470588236,2125,45340.14,06/10/2022,20.9
06/10/2022,21.2,20.9,21.22,20.8,20.851932281944,155350,3239347.68,05/10/2022,21.31
05/10/2022,20.7,21.31,21.5,20.46,20.912586649550708,6232,130327.24,04/10/2022,20.7
04/10/2022,20.5,20.7,21.14,20.5,20.721577316926254,11621,240805.45,03/10/2022,20.3
03/10/2022,20.15,20.3,20.3,20.15,20.24830234438157,1237,25047.15,30/09/2022,20
30/09/2022,20.06,20,20.2,20,20.043623339411305,7678,153894.94,29/09/2022,20
29/09/2022,20.35,20,20.35,20,20.011979428787114,63584,1272441.7,28/09/2022,20.5
28/09/2022,20.35,20.5,20.51,20.35,20.46508382066277,2565,52492.94,27/09/2022,20
27/09/2022,20.65,20,20.65,20,20.362516613695462,3461,70474.67,26/09/2022,20.4
26/09/2022,20.8,20.4,20.84,20.4,20.734947617438323,2959,61354.71,23/09/2022,21
23/09/2022,21.2,21,21.2,21,21.161934523809524,336,7110.41,22/09/2022,21.7
22/09/2022,21.59,21.7,21.7,21.35,21.53792364990689,1074,23131.73,21/09/2022,21.35
21/09/2022,21.8,21.35,21.8,21.35,21.570158038147138,1835,39581.24,20/09/2022,21.7
20/09/2022,21.7,21.7,21.7,21.7,21.696123348017622,227,4925.02,19/09/2022,21.65
19/09/2022,21.6,21.65,21.85,21.6,21.74568655992237,2061,44817.86,16/09/2022,21.44
16/09/2022,21.72,21.44,21.72,21.44,21.58858933046903,2793,60296.93,15/09/2022,21.8
15/09/2022,21.8,21.8,22.07,21.8,21.88247073072265,2477,54202.88,14/09/2022,21.8
14/09/2022,21.75,21.8,21.85,21.74,21.764548667754212,3678,80050.01,13/09/2022,21.75
13/09/2022,21.95,21.75,21.95,21.75,21.78465909090909,5016,109271.85,12/09/2022,21.91
12/09/2022,22,21.91,22.25,21.91,22.02682436428149,1691,37247.36,09/09/2022,21.75
09/09/2022,21.91,21.75,21.91,21.7,21.79655551696191,8637,188256.85,08/09/2022,21.55
08/09/2022,21.6,21.55,21.6,21.45,21.531400843881855,2370,51029.42,07/09/2022,21.5
07/09/2022,21.6,21.5,21.76,21.46,21.63660541017348,6802,147172.19,06/09/2022,21.5
06/09/2022,21.7,21.5,21.75,21.5,21.594779244424217,2197,47443.73,05/09/2022,21.7
05/09/2022,21.7,21.7,21.7,21.7,21.667153284671535,137,2968.4,02/09/2022,21.3
02/09/2022,21.4,21.3,21.5,21.3,21.432807017543862,2280,48866.8,01/09/2022,21.47
01/09/2022,21.15,21.47,21.7,21.15,21.516981132075472,530,11404,31/08/2022,22.02
31/08/2022,22.11,22.02,22.11,21.9,22.03030171311685,3911,86160.51,29/08/2022,22.1
29/08/2022,22.69,22.1,22.69,22.1,22.45046439628483,646,14503,26/08/2022,22.3
26/08/2022,22.75,22.3,22.75,22.3,22.43099927849928,2772,62178.73,25/08/2022,22.65
25/08/2022,22.87,22.65,22.87,22.55,22.70585683955111,3297,74861.21,24/08/2022,23
24/08/2022,23.04,23,23.04,23,23.02866556836903,1214,27956.8,23/08/2022,23
23/08/2022,23.1,23,23.1,23,23.038680445151034,1887,43473.99,22/08/2022,23
22/08/2022,23,23,23,23,23.00050256996002,1751,40273.88,19/08/2022,22.92
19/08/2022,23.56,22.92,23.56,22.91,23.064958217270195,1795,41401.6,18/08/2022,23.96
18/08/2022,24.4,23.96,24.4,23.96,24.11385328496574,2481,59826.47,17/08/2022,24.4
17/08/2022,24.95,24.4,24.95,24.4,24.5618759886112,3161,77640.09,16/08/2022,24.95
16/08/2022,25.06,24.95,25.06,24.8,24.945357458075907,3399,84789.27,15/08/2022,25.21
15/08/2022,25,25.21,25.47,25,25.2233771569433,1217,30696.85,12/08/2022,25.45
12/08/2022,25.54,25.45,25.63,25.25,25.49706132879046,2348,59867.1,11/08/2022,25
