Fecha de cotización,Apertura,Cierre,Máximo,Mínimo,Promedio,Cantidad negociada,Monto negociado,Fecha anterior,Cierre anterior corregido
30/12/2022,33.01,33.01,33.01,33.01,33.05763888888889,144,4760.3,29/12/2022,33.96
29/12/2022,33.4,33.96,33.96,33,33.93790364558231,51871,1760393,28/12/2022,34.19
28/12/2022,34.2,34.19,34.2,34.19,34.19000031427494,1750060,59834551.95,27/12/2022,34.2
27/12/2022,34.2,34.2,34.2,34.2,34.20175438596491,57,1949.5,23/12/2022,34.21
26/12/2022,,,,,,,,23/12/2022,34.21
23/12/2022,34.21,34.21,34.21,34.21,34.21,756,25862.76,22/12/2022,34.8
22/12/2022,34.8,34.8,34.8,34.8,34.800000000000004,2167,75411.6,21/12/2022,34.75
21/12/2022,34.75,34.75,34.75,34.75,34.751758087201125,2133,74125.5,20/12/2022,34.75
20/12/2022,34.75,34.75,34.75,34.75,34.749880284580655,43854,1523921.25,19/12/2022,35
19/12/2022,34.99,35,35,34.99,34.996460296096906,743,26002.37,16/12/2022,34.99
16/12/2022,34.99,34.99,34.99,34.8,34.912642857142856,5320,185735.26,14/12/2022,34.5
15/12/2022,,,,,35,4,140,14/12/2022,34.5
14/12/2022,35,34.5,35,34.5,34.929035545929416,15698,548316,13/12/2022,35
13/12/2022,35,35,35,35,35.00045133142771,6647,232648,12/12/2022,35.6
12/12/2022,35.6,35.6,35.6,35.6,35.6,5765,205234,07/12/2022,36
07/12/2022,36,36,36,34.5,35.82486075949367,1185,42452.46,06/12/2022,36
06/12/2022,36,36,36,36,36,3110,111960,05/12/2022,36
05/12/2022,36,36,36,35.75,35.84623356626791,8443,302649.75,01/12/2022,36.25
02/12/2022,,,,,36,10,360,01/12/2022,36.25
01/12/2022,36.01,36.25,36.25,36.01,36.24337931034483,3335,120871.67,30/11/2022,36.01
30/11/2022,35.3,36.01,36.01,35.3,35.824861373660994,19044,682248.66,29/11/2022,35.3
29/11/2022,35.3,35.3,35.3,35.3,35.3,4000,141200,28/11/2022,35.3
28/11/2022,35.36,35.3,35.36,35,35.30180929848898,1554188,54865648.39,25/11/2022,35.65
25/11/2022,35.6,35.65,35.65,35.5,35.64987498801036,156385,5575105.7,23/11/2022,35.05
24/11/2022,,,,,,,,23/11/2022,35.05
23/11/2022,35.05,35.05,35.05,35.05,35.05,300,10515,22/11/2022,35.5
22/11/2022,35.3,35.5,35.5,35,35.45321068769163,2283,80939.68,21/11/2022,35.01
21/11/2022,35.01,35.01,35.01,35.01,35.01,6350,222313.5,18/11/2022,35
18/11/2022,35,35,35.01,35,35.00931856899489,1761,61651.41,17/11/2022,35
17/11/2022,35,35,35,35,35,126,4410,16/11/2022,35.01
16/11/2022,35,35.01,35.5,35,35.01732181982214,7759,271699.4,15/11/2022,35
15/11/2022,35,35,35,35,35,550,19250,14/11/2022,35
14/11/2022,35,35,35,35,35,9965,348775,11/11/2022,35
11/11/2022,34.82,35,35,34.82,34.822764227642274,5535,192744,10/11/2022,35
10/11/2022,34.51,35,35.01,34.51,34.81111286006611,6353,221155,09/11/2022,34.5
09/11/2022,34.5,34.5,34.5,34.5,34.5,956,32982,08/11/2022,34
08/11/2022,34.55,34,34.55,34,34.32797878319517,14234,488624.45,07/11/2022,34.55
07/11/2022,34.5,34.55,34.55,34.41,34.519725728284605,18777,648176.89,04/11/2022,34.4
04/11/2022,33.9,34.4,34.4,33.9,34.14180306795784,11669,398400.7,03/11/2022,33.5
03/11/2022,34,33.5,34,33.5,33.98580711354309,5848,198749,02/11/2022,34.2
02/11/2022,34,34.2,34.25,34,34.119036177350615,11029,376298.85,31/10/2022,34.5
31/10/2022,34.5,34.5,34.5,34.5,34.5,440,15180,28/10/2022,34.5
28/10/2022,34.5,34.5,34.5,34.5,34.49871244635193,233,8038.2,27/10/2022,34.5
27/10/2022,34.5,34.5,34.5,34,34.49205626810095,4834,166734.6,26/10/2022,34.5
26/10/2022,34.5,34.5,34.5,34.5,34.5,48,1656,24/10/2022,34.5
25/10/2022,,,,,34.9,10,349,24/10/2022,34.5
24/10/2022,34.5,34.5,34.5,34.5,34.5,15923,549343.5,21/10/2022,34.5
21/10/2022,34.5,34.5,34.5,34.5,34.50857142857143,140,4831.2,20/10/2022,34.65
20/10/2022,34.65,34.65,34.65,34.65,34.650022215169784,31510,1091822.2,19/10/2022,34.5
19/10/2022,34.5,34.5,34.5,34.5,34.5,5324,183678,18/10/2022,34.5
18/10/2022,33.5,34.5,34.5,33.5,34.49573157855042,132590,4573789.05,17/10/2022,33.5
17/10/2022,33.5,33.5,33.5,33.5,33.5,8980,300830,14/10/2022,33.17
14/10/2022,32.5,33.17,33.17,32.5,32.573281354125015,7503,244397.33,13/10/2022,32.5
13/10/2022,33,32.5,33,32.15,32.49910501503579,407694,13249690.12,12/10/2022,33.05
12/10/2022,33.05,33.05,33.05,33.05,33.05,100,3305,11/10/2022,33.05
11/10/2022,33.5,33.05,33.5,33.05,33.14060955518946,9105,301745.25,10/10/2022,33.5
10/10/2022,33.5,33.5,33.5,33.5,33.5,500,16750,07/10/2022,33.7
07/10/2022,33.79,33.7,33.79,33.7,33.73899480069324,2308,77869.6,06/10/2022,33.8
06/10/2022,34,33.8,34,33.8,33.98284263959391,5910,200838.6,04/10/2022,34.1
05/10/2022,,,,,,,,04/10/2022,34.1
04/10/2022,34.1,34.1,34.1,34.1,34.10054173354735,2492,84978.55,03/10/2022,34
03/10/2022,34,34,34,34,33.99927311494476,15477,526206.75,30/09/2022,33.25
30/09/2022,33,33.25,33.25,33,33.248178345518774,48692,1618920.3,29/09/2022,32.4
29/09/2022,32.11,32.4,32.4,32.11,32.30324722448564,157088,5074452.5,28/09/2022,32.11
28/09/2022,32.1,32.11,32.11,32.1,32.10650872817955,2406,77248.26,27/09/2022,32.1
27/09/2022,32.1,32.1,32.1,32.1,32.1,3329,106860.9,26/09/2022,31.92
26/09/2022,31.9,31.92,31.95,31.9,31.925313741064336,7554,241163.82,23/09/2022,31.8
23/09/2022,31.8,31.8,31.8,31.8,31.800000968382317,206530,6567654.2,22/09/2022,31.8
22/09/2022,31.8,31.8,31.8,31.8,31.800491071428574,2240,71233.1,21/09/2022,31.8
21/09/2022,31.8,31.8,31.8,31.8,31.800002781188045,251691,8003774.5,20/09/2022,31.8
20/09/2022,31.75,31.8,32,31.75,31.839656926878906,6879,219025,19/09/2022,31.75
19/09/2022,31,31.75,31.75,31,31.616850723208227,175399,5545564,16/09/2022,31.25
16/09/2022,30.4,31.25,31.25,30.4,31.0058015107008,42894,1329962.85,15/09/2022,30.6
15/09/2022,30.51,30.6,30.6,30.51,30.537774524158124,683,20857.3,14/09/2022,30.51
14/09/2022,30.4,30.51,30.51,30.4,30.460722489811044,2699,82213.49,13/09/2022,30.4
13/09/2022,30.4,30.4,30.4,30.4,30.40128653335198,7151,217399.6,09/09/2022,30.6
12/09/2022,,,,,30.62,35,1071.7,09/09/2022,30.6
09/09/2022,30.6,30.6,30.6,30.6,30.6,4857,148624.2,08/09/2022,30.6
08/09/2022,30.6,30.6,30.6,30.6,30.60055172413793,145,4437.08,02/09/2022,30.6
07/09/2022,,,,,30.6,35,1071,02/09/2022,30.6
06/09/2022,,,,,30.489473684210523,38,1158.6,02/09/2022,30.6
05/09/2022,,,,,30.3,15,454.5,02/09/2022,30.6
02/09/2022,30.6,30.6,30.6,30.6,30.599999999999998,2202,67381.2,01/09/2022,30.6
01/09/2022,31.1,30.6,31.1,30.5,30.568515732924023,6515,199153.88,31/08/2022,30.96
31/08/2022,31.6,30.96,31.6,30.96,31.272128592303947,2053,64201.68,29/08/2022,32.1
29/08/2022,32.99,32.1,32.99,32.1,32.93309462915601,4692,154522.08,25/08/2022,33
26/08/2022,,,,,32.5,7,227.5,25/08/2022,33
25/08/2022,33,33,33,33,33,119,3927,23/08/2022,33.4
24/08/2022,,,,,33.4,16,534.4,23/08/2022,33.4
23/08/2022,32.6,33.4,33.4,32.5,32.761275182643345,4517,147982.68,22/08/2022,33
22/08/2022,33.5,33,33.5,33,33.04864472410455,10330,341392.5,19/08/2022,34
