Fecha de cotización,Apertura,Cierre,Máximo,Mínimo,Promedio,Cantidad negociada,Monto negociado,Fecha anterior,Cierre anterior corregido
30/12/2022,3.55,3.55,3.55,3.55,3.550048244667098,375171,1331875.15,29/12/2022,3.55
29/12/2022,3.54,3.55,3.56,3.54,3.5504645717577534,322878,1146366.9,28/12/2022,3.54
28/12/2022,3.5,3.54,3.55,3.5,3.524444625878616,269458,949689.8,27/12/2022,3.5
27/12/2022,3.31,3.5,3.5,3.15,3.187466627485552,510450,1627042.34,23/12/2022,3.3
26/12/2022,,,,,,,,23/12/2022,3.3
23/12/2022,3.3,3.3,3.3,3.3,3.3,10275,33907.5,22/12/2022,3.3
22/12/2022,3.36,3.3,3.36,3.3,3.305636245891023,121989,403251.26,21/12/2022,3.35
21/12/2022,3.35,3.35,3.35,3.35,3.350130402384501,32208,107901,20/12/2022,3.34
20/12/2022,3.4,3.34,3.4,3.33,3.355978191796649,138480,464735.86,19/12/2022,3.34
19/12/2022,3.33,3.34,3.34,3.33,3.3369969066606124,35237,117585.76,16/12/2022,3.28
16/12/2022,3.5,3.28,3.5,3.28,3.3321785189187834,159154,530329.54,15/12/2022,3.5
15/12/2022,3.56,3.5,3.56,3.5,3.5050843881856535,37920,132912.8,14/12/2022,3.58
14/12/2022,3.58,3.58,3.58,3.58,3.5836694575900983,2747,9844.34,13/12/2022,3.58
13/12/2022,3.6,3.58,3.6,3.58,3.585692024366058,14118,50622.8,12/12/2022,3.56
12/12/2022,3.65,3.56,3.65,3.5,3.5280545836249124,71450,252079.5,07/12/2022,3.69
07/12/2022,3.52,3.69,3.69,3.48,3.635495698279312,39984,145361.66,06/12/2022,3.69
06/12/2022,3.69,3.69,3.69,3.68,3.6875067007417566,32086,118317.34,05/12/2022,3.69
05/12/2022,3.7,3.69,3.7,3.69,3.699411774785697,233431,863557.39,02/12/2022,3.7
02/12/2022,3.7,3.7,3.7,3.7,3.701212121212121,14883,55085.14,01/12/2022,3.74
01/12/2022,3.73,3.74,3.74,3.73,3.724264258169271,14781,55048.35,30/11/2022,3.69
30/11/2022,3.64,3.69,3.7,3.63,3.6873258160237388,75825,279591.48,28/11/2022,3.6
29/11/2022,,,,,3.6528169014084506,1420,5187,28/11/2022,3.6
28/11/2022,3.6,3.6,3.6,3.55,3.597455911450119,34873,125454.08,25/11/2022,3.6
25/11/2022,3.56,3.6,3.6,3.55,3.584256629661048,27113,97179.95,24/11/2022,3.55
24/11/2022,3.55,3.55,3.55,3.52,3.5371950025325005,29615,104754.03,23/11/2022,3.5
23/11/2022,3.65,3.5,3.66,3.5,3.5054849823911733,942993,3305647.8,22/11/2022,3.65
22/11/2022,3.65,3.65,3.65,3.65,3.651336689692854,25623,93558.2,21/11/2022,3.65
21/11/2022,3.65,3.65,3.65,3.65,3.649437119675456,15776,57573.52,18/11/2022,3.68
18/11/2022,3.65,3.68,3.79,3.65,3.7092687236645374,44142,163734.54,17/11/2022,3.65
17/11/2022,3.7,3.65,3.8,3.65,3.748669798657718,14900,55855.18,16/11/2022,3.75
