"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2015","77.74","77.98","79.25","75.36","121.01M","-0.91%"
"01/11/2015","75.18","77.84","78.08","73.54","126.21M","-3.29%"
"01/18/2015","77.83","75.72","78.19","74.82","84.18M","3.52%"
"01/25/2015","75.91","77.98","78.47","74.21","196.62M","-2.47%"
"02/01/2015","74.47","76.11","76.35","73.75","125.46M","-1.90%"
"02/08/2015","75.74","74.05","76.87","73.45","88.74M","1.71%"
"02/15/2015","79.89","75.30","80.34","75.08","130.46M","5.48%"
"02/22/2015","78.97","79.96","81.37","78.10","130.48M","-1.15%"
"03/01/2015","80.00","79.00","81.99","78.52","120.74M","1.30%"
"03/08/2015","78.05","79.68","79.91","77.26","96.86M","-2.44%"
"03/15/2015","83.80","77.96","84.60","77.36","164.95M","7.37%"
"03/22/2015","83.30","83.92","86.07","82.14","148.54M","-0.60%"
"03/29/2015","81.56","83.81","84.34","80.87","85.98M","-2.09%"
"04/05/2015","82.04","80.80","83.42","80.80","83.95M","0.59%"
"04/12/2015","80.78","81.93","83.94","80.37","106.89M","-1.54%"
"04/19/2015","81.53","81.54","85.59","81.24","204.91M","0.93%"
"04/26/2015","78.99","81.87","82.93","78.11","128.79M","-3.12%"
"05/03/2015","78.51","79.33","79.69","77.05","105.36M","-0.61%"
"05/10/2015","80.42","78.48","81.84","76.79","138.18M","2.43%"
"05/17/2015","80.54","80.33","81.69","79.46","95.60M","0.15%"
"05/24/2015","79.19","80.43","81.07","78.88","58.60M","-1.68%"
"05/31/2015","82.14","79.30","82.95","78.66","105.82M","3.73%"
"06/07/2015","81.53","81.82","82.90","79.32","85.02M","-0.74%"
"06/14/2015","82.51","80.55","83.19","80.07","100.98M","1.20%"
"06/21/2015","88.01","83.41","89.40","83.31","186.94M","6.67%"
"06/28/2015","87.28","86.61","87.95","85.57","101.36M","-0.83%"
"07/05/2015","87.95","86.49","88.22","85.23","128.65M","0.77%"
"07/12/2015","94.97","88.66","95.39","88.42","163.30M","7.98%"
"07/19/2015","96.95","95.85","99.24","94.81","185.48M","2.08%"
"07/26/2015","94.01","96.58","97.28","91.80","271.19M","-3.03%"
"08/02/2015","94.30","93.53","98.74","92.80","144.76M","0.31%"
"08/09/2015","94.42","95.68","95.90","91.19","104.62M","0.13%"
"08/16/2015","86.06","94.42","96.10","85.61","171.22M","-8.85%"
"08/23/2015","91.01","77.03","91.48","72.00","256.50M","5.75%"
"08/30/2015","88.26","90.60","91.05","86.50","150.52M","-3.02%"
"09/06/2015","92.05","89.69","92.08","88.83","107.19M","4.29%"
"09/13/2015","94.40","92.31","95.51","91.60","145.45M","2.55%"
"09/20/2015","92.77","94.62","96.49","91.92","145.45M","-1.73%"
"09/27/2015","92.07","92.08","92.29","85.72","186.82M","-0.75%"
"10/04/2015","93.24","92.94","94.27","90.47","121.21M","1.27%"
"10/11/2015","97.54","93.32","97.59","92.67","110.15M","4.61%"
"10/18/2015","102.19","97.18","102.85","96.47","145.82M","4.77%"
"10/25/2015","101.97","102.20","105.12","101.55","127.64M","-0.22%"
"11/01/2015","107.09","102.46","110.65","101.18","187.03M","5.02%"
"11/08/2015","103.95","107.00","109.87","103.83","127.68M","-2.93%"
"11/15/2015","107.32","103.32","107.88","100.47","147.60M","3.24%"
"11/22/2015","105.45","107.19","107.47","104.39","64.54M","-1.74%"
"11/29/2015","106.18","105.84","107.92","103.35","112.06M","0.69%"
"12/06/2015","102.12","106.48","106.91","101.91","103.28M","-3.82%"
"12/13/2015","104.04","102.28","107.75","101.46","126.93M","1.88%"
"12/20/2015","105.02","104.91","106.11","103.60","56.85M","0.94%"
"12/27/2015","104.66","105.02","107.74","104.53","61.76M","-0.34%"
"01/03/2016","97.33","101.95","103.77","97.03","166.84M","-7.00%"
