"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2020","87.59","86.77","87.95","86.77","20.24M","0.71%"
"12/30/2020","86.98","88.10","88.25","86.28","26.12M","-1.09%"
"12/29/2020","87.94","89.39","89.62","87.80","25.99M","-0.98%"
"12/28/2020","88.80","87.58","89.54","87.32","27.86M","2.14%"
"12/24/2020","86.94","86.75","87.30","86.46","6.94M","0.37%"
"12/23/2020","86.62","86.41","87.40","86.25","20.68M","0.52%"
"12/22/2020","86.18","86.72","86.87","85.63","18.77M","-0.91%"
"12/21/2020","86.97","85.68","87.04","84.95","36.57M","0.48%"
"12/18/2020","86.55","87.71","87.76","86.01","80.33M","-0.97%"
"12/17/2020","87.39","88.43","88.59","86.93","32.49M","-0.86%"
"12/16/2020","88.15","88.64","88.65","87.80","30.27M","-0.27%"
"12/15/2020","88.39","88.22","88.57","87.50","29.65M","0.44%"
"12/14/2020","88.00","88.75","89.87","87.86","32.00M","-1.22%"
"12/11/2020","89.09","88.15","89.22","88.00","24.41M","0.36%"
"12/10/2020","88.77","88.49","89.07","87.02","27.26M","-0.49%"
"12/09/2020","89.21","90.60","91.71","88.39","30.15M","-1.89%"
"12/08/2020","90.93","90.50","91.10","89.81","21.93M","-0.05%"
"12/07/2020","90.97","90.95","91.62","90.29","26.42M","-0.47%"
"12/04/2020","91.40","91.23","91.66","90.85","27.56M","0.07%"
"12/03/2020","91.34","91.20","92.36","91.13","24.55M","-0.06%"
"12/02/2020","91.40","89.90","91.78","89.47","24.44M","1.66%"
"12/01/2020","89.90","88.72","91.24","88.47","34.78M","2.12%"
"11/30/2020","88.04","89.06","89.40","87.75","36.48M","-1.81%"
"11/27/2020","89.66","88.65","90.20","88.62","17.70M","1.23%"
"11/25/2020","88.57","88.64","88.93","87.83","20.92M","0.14%"
"11/24/2020","88.44","86.53","88.58","86.38","31.59M","1.96%"
"11/23/2020","86.74","87.48","87.69","85.89","43.24M","-0.42%"
"11/20/2020","87.11","88.26","88.70","87.09","46.27M","-1.23%"
"11/19/2020","88.20","86.92","88.48","86.85","25.00M","0.98%"
"11/18/2020","87.34","88.26","88.67","87.31","23.47M","-1.32%"
"11/17/2020","88.51","88.85","89.25","88.35","22.94M","-0.63%"
"11/16/2020","89.07","88.58","89.95","88.38","24.94M","0.25%"
"11/13/2020","88.85","87.88","89.05","87.23","30.01M","1.55%"
"11/12/2020","87.49","87.38","88.41","87.28","24.98M","-0.16%"
"11/11/2020","87.64","87.50","88.21","87.37","25.28M","0.71%"
"11/10/2020","87.02","86.55","88.15","85.86","52.72M","-1.28%"
"11/09/2020","88.15","89.54","90.90","88.00","45.37M","0.07%"
"11/06/2020","88.09","87.70","88.62","87.02","33.22M","-0.09%"
"11/05/2020","88.17","89.05","89.68","87.53","41.32M","0.81%"
"11/04/2020","87.46","85.51","88.57","85.30","71.42M","5.99%"
