"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2015","24.74","26.09","26.14","24.48","249.00M","-5.46%"
"01/11/2015","25.33","24.68","25.34","24.31","239.04M","2.38%"
"01/18/2015","26.92","25.48","27.03","25.23","189.19M","6.28%"
"01/25/2015","26.65","26.85","26.92","24.99","298.49M","-1.00%"
"02/01/2015","26.48","26.51","26.79","25.86","203.31M","-0.64%"
"02/08/2015","27.38","26.33","27.42","26.23","158.32M","3.40%"
"02/15/2015","26.87","27.27","27.42","26.72","110.11M","-1.86%"
"02/22/2015","27.84","26.73","28.16","26.34","180.22M","3.61%"
"03/01/2015","28.31","27.95","28.82","27.86","175.20M","1.69%"
"03/08/2015","27.29","28.27","28.44","27.14","155.37M","-3.60%"
"03/15/2015","27.94","27.47","28.01","27.23","187.90M","2.38%"
"03/22/2015","27.34","27.94","28.65","27.33","196.99M","-2.15%"
"03/29/2015","26.70","27.51","27.66","26.62","131.10M","-2.34%"
"04/05/2015","26.93","26.54","27.12","26.41","135.46M","0.86%"
"04/12/2015","26.13","26.85","27.13","25.98","200.40M","-2.97%"
"04/19/2015","28.18","26.21","28.48","26.15","284.72M","7.85%"
"04/26/2015","26.89","28.17","28.30","26.61","188.76M","-4.58%"
"05/03/2015","26.91","26.93","27.20","26.05","146.64M","0.07%"
"05/10/2015","26.69","26.92","27.10","26.26","143.36M","-0.82%"
"05/17/2015","27.01","26.60","27.21","26.44","160.80M","1.20%"
"05/24/2015","26.61","26.91","27.03","26.49","151.18M","-1.48%"
"05/31/2015","26.67","26.84","27.18","26.49","165.94M","0.23%"
"06/07/2015","26.62","26.67","26.95","26.15","139.35M","-0.19%"
"06/14/2015","26.83","26.40","26.91","26.20","154.51M","0.79%"
"06/21/2015","26.58","26.98","27.19","26.57","143.58M","-0.93%"
"06/28/2015","26.17","26.25","26.43","25.91","147.41M","-1.54%"
"07/05/2015","26.51","25.98","26.63","25.76","159.47M","1.30%"
"07/12/2015","33.65","26.64","33.72","26.62","463.37M","26.93%"
"07/19/2015","31.18","32.96","33.93","31.13","396.44M","-7.34%"
"07/26/2015","31.28","31.05","31.76","31.02","183.16M","0.32%"
"08/02/2015","31.77","31.27","32.39","31.27","162.12M","1.57%"
"08/09/2015","32.86","31.97","33.74","31.56","253.24M","3.43%"
"08/16/2015","30.62","32.84","33.35","30.62","235.25M","-6.82%"
"08/23/2015","31.52","28.65","32.18","28.25","380.28M","2.94%"
"08/30/2015","30.04","31.38","31.79","29.70","246.07M","-4.70%"
"09/06/2015","31.29","30.62","31.33","30.21","145.21M","4.16%"
"09/13/2015","31.46","31.29","32.55","30.97","249.62M","0.54%"
"09/20/2015","30.60","31.72","31.82","30.55","204.73M","-2.73%"
"09/27/2015","31.35","30.52","31.37","29.47","248.08M","2.45%"
"10/04/2015","32.18","31.60","32.53","31.28","199.28M","2.65%"
"10/11/2015","33.11","32.10","33.25","31.95","159.92M","2.89%"
"10/18/2015","35.10","33.06","36.50","32.09","329.89M","6.01%"
"10/25/2015","35.54","35.08","35.96","35.06","210.12M","1.25%"
"11/01/2015","36.69","35.55","36.97","35.29","170.63M","3.24%"
"11/08/2015","35.85","36.51","37.05","35.84","179.15M","-2.29%"
"11/15/2015","37.83","35.78","37.90","35.57","172.84M","5.52%"
"11/22/2015","37.51","37.87","38.14","36.88","114.21M","-0.85%"
"11/29/2015","38.34","37.44","38.80","37.06","236.21M","2.21%"
"12/06/2015","36.94","38.39","38.44","36.84","211.09M","-3.65%"
"12/13/2015","36.97","37.09","38.13","36.21","235.66M","0.08%"
"12/20/2015","37.42","37.31","37.74","37.00","99.70M","1.22%"
"12/27/2015","37.94","37.65","39.00","37.48","121.50M","1.39%"
"01/03/2016","35.72","37.15","37.60","35.65","251.70M","-5.85%"
"01/10/2016","34.72","35.83","36.74","34.27","249.01M","-2.80%"
"01/17/2016","36.26","35.16","36.41","33.66","202.74M","4.44%"
"01/24/2016","37.15","36.18","37.25","34.72","227.77M","2.45%"
"01/31/2016","34.18","37.52","39.49","34.01","558.65M","-7.99%"
"02/07/2016","34.12","33.39","35.07","33.15","313.19M","-0.18%"
"02/14/2016","35.05","34.65","35.62","34.25","169.70M","2.73%"
"02/21/2016","35.25","35.37","35.67","34.04","196.17M","0.57%"
"02/28/2016","35.54","35.02","36.00","34.88","203.83M","0.82%"
"03/06/2016","36.34","35.34","36.35","34.27","225.80M","2.25%"
"03/13/2016","36.88","36.34","37.15","36.23","198.10M","1.49%"
"03/20/2016","36.77","36.83","37.29","36.55","122.66M","-0.30%"
"03/27/2016","37.50","36.84","37.89","36.44","165.66M","1.99%"
"04/03/2016","36.96","37.50","37.64","36.77","121.29M","-1.44%"
"04/10/2016","37.95","37.15","38.05","36.55","144.51M","2.68%"
"04/17/2016","35.94","38.02","38.49","35.68","282.62M","-5.30%"
"04/24/2016","34.65","35.80","36.29","34.45","263.15M","-3.59%"
"05/01/2016","35.56","34.88","35.59","34.45","167.91M","2.63%"
"05/08/2016","35.54","35.60","36.22","35.45","148.96M","-0.06%"
"05/15/2016","35.49","35.46","36.08","34.84","171.68M","-0.14%"
"05/22/2016","36.63","35.33","36.70","35.21","168.88M","3.21%"
"05/29/2016","36.12","36.59","36.99","36.03","119.02M","-1.39%"
"06/05/2016","35.97","36.25","36.48","35.73","133.84M","-0.42%"
"06/12/2016","34.59","35.83","36.27","34.42","183.29M","-3.84%"
"06/19/2016","33.76","34.94","35.14","33.67","227.06M","-2.40%"
"06/26/2016","34.96","33.55","35.03","33.16","193.80M","3.55%"
"07/03/2016","35.28","34.80","35.29","34.41","115.08M","0.92%"
"07/10/2016","35.99","35.40","36.29","35.36","112.28M","2.01%"
"07/17/2016","37.14","36.14","37.16","36.06","121.98M","3.20%"
"07/24/2016","38.44","37.03","38.93","36.71","222.07M","3.50%"
"07/31/2016","39.11","38.05","39.15","38.05","174.28M","1.74%"
"08/07/2016","39.16","39.10","39.49","38.90","98.57M","0.13%"
"08/14/2016","38.77","39.19","39.37","38.66","89.43M","-1.00%"
"08/21/2016","38.48","38.66","38.82","38.16","100.90M","-0.75%"
"08/28/2016","38.57","38.44","38.75","38.22","104.48M","0.23%"
"09/04/2016","37.98","38.67","39.14","37.98","109.85M","-1.53%"
"09/11/2016","38.44","37.76","38.69","37.70","143.93M","1.21%"
"09/18/2016","39.34","38.62","39.49","38.22","124.35M","2.34%"
"09/25/2016","38.86","39.14","39.30","38.65","133.93M","-1.22%"
"10/02/2016","38.75","38.71","39.10","38.48","118.90M","-0.28%"
"10/09/2016","38.93","38.89","39.61","38.65","114.05M","0.46%"
"10/16/2016","39.97","38.99","40.23","38.88","158.81M","2.67%"
"10/23/2016","39.77","40.24","40.83","39.58","238.82M","-0.50%"
"10/30/2016","38.10","39.77","39.84","37.53","216.60M","-4.20%"
"11/06/2016","37.70","38.73","39.78","37.52","254.72M","-1.05%"
"11/13/2016","38.03","37.78","38.75","36.38","207.24M","0.88%"
"11/20/2016","38.08","38.13","38.85","37.76","99.79M","0.13%"
"11/27/2016","37.52","38.00","38.98","36.85","213.36M","-1.47%"
"12/04/2016","39.46","37.89","39.47","37.65","163.12M","5.17%"
"12/11/2016","39.54","39.25","40.22","39.22","200.48M","0.20%"
"12/18/2016","39.50","39.51","39.93","39.31","99.81M","-0.10%"
"12/25/2016","38.59","39.53","39.89","38.52","89.15M","-2.30%"
"01/01/2017","40.31","38.94","40.40","38.79","114.11M","4.46%"
"01/08/2017","40.39","40.32","40.56","39.96","119.39M","0.20%"
"01/15/2017","40.25","40.35","40.47","40.02","104.92M","-0.35%"
"01/22/2017","41.17","40.36","42.10","40.19","220.09M","2.29%"
"01/29/2017","40.07","40.73","40.79","39.53","208.65M","-2.67%"
"02/05/2017","40.68","39.98","40.76","39.76","114.14M","1.52%"
"02/12/2017","41.40","40.80","41.40","40.77","129.61M","1.77%"
"02/19/2017","41.43","41.43","41.67","41.14","102.29M","0.07%"
"02/26/2017","41.45","41.23","41.81","41.01","133.95M","0.05%"
"03/05/2017","42.16","41.35","42.25","41.12","122.04M","1.71%"
"03/12/2017","42.61","42.20","42.67","42.04","121.59M","1.07%"
"03/19/2017","40.72","42.50","42.67","40.44","211.29M","-4.44%"
"03/26/2017","41.48","40.35","41.68","40.17","155.18M","1.87%"
"04/02/2017","41.23","41.46","42.12","41.03","131.68M","-0.60%"
"04/09/2017","41.18","41.27","41.47","40.85","81.63M","-0.12%"
"04/16/2017","42.16","41.25","42.26","41.22","99.37M","2.38%"
